Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/07/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,CA,95993,None,None,Web,11/07/25,In progress,Yes,N/A,17063887
10/08/25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,None,TD BANK US HOLDING COMPANY,CA,94538,None,Consent not provided,Web,10/08/25,Closed with explanation,Yes,N/A,16458604
11/10/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,NY,11207,None,None,Web,11/10/25,Closed with explanation,Yes,N/A,17121958
10/24/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,NJ,07305,None,None,Web,10/24/25,In progress,Yes,N/A,16803525
10/19/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,None,TD BANK US HOLDING COMPANY,NY,11236,None,None,Web,10/19/25,Closed with monetary relief,Yes,N/A,16680526
11/05/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,NJ,07666,None,None,Web,11/05/25,Closed with explanation,Yes,N/A,17004931
11/08/25,Checking or savings account,Checking account,Managing an account,Cashing a check,,None,TD BANK US HOLDING COMPANY,MA,022XX,None,None,Web,11/08/25,Closed with explanation,Yes,N/A,17115386
10/28/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,AZ,85040,None,None,Web,10/28/25,Closed with explanation,Yes,N/A,16879148
09/30/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,CT,06101,None,Consent not provided,Web,09/30/25,Closed with explanation,Yes,N/A,16270822
11/04/25,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,,None,TD BANK US HOLDING COMPANY,FL,338XX,None,None,Web,11/04/25,Closed with explanation,Yes,N/A,17015398
10/11/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,NJ,08620,None,None,Web,10/11/25,Closed with monetary relief,Yes,N/A,16514950
10/07/25,Checking or savings account,Checking account,Managing an account,Problem making or receiving payments,"I made a mobile deposit on XX/XX/year>, which was a XXXX, to TD Bank. The information provided to me about mobile banking was the check would be available the next business day. On XXXX  the bank put a hold on the check and I would not receive any of it until XX/XX/year>. When I called to inquire they said they had to "" verify the funds were available ''. The person who issued the check is related to me and they checked their account and the money was removed from his account on Monday XX/XX/year>. He called his bank to see if he could stop the payment on the check and his bank said the money was already sent to my bank. I know my bank is making money off of keeping the funds for the next week. Shouldn't either the person who wrote the check or the person who deposited the check have access to the money? Why does the bank get to hold the money for a week with no explanation?",None,TD BANK US HOLDING COMPANY,SC,295XX,None,Consent provided,Web,10/07/25,Closed with explanation,Yes,N/A,16416061
10/24/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,OH,44109,None,None,Web,10/24/25,Closed with non-monetary relief,Yes,N/A,16804176
11/04/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,CT,06098,None,None,Web,11/04/25,Closed with non-monetary relief,Yes,N/A,17030238
11/12/25,Credit card,Store credit card,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,CA,92618,None,None,Web,11/12/25,In progress,Yes,N/A,17190103
10/16/25,Vehicle loan or lease,Loan,Repossession,Deficiency balance after repossession,,None,TD BANK US HOLDING COMPANY,FL,32822,None,None,Web,10/16/25,In progress,Yes,N/A,16624160
11/14/25,Credit card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,,None,TD BANK US HOLDING COMPANY,PA,19311,None,None,Web,11/14/25,Closed with non-monetary relief,Yes,N/A,17251037
10/29/25,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,OR,97405,Servicemember,None,Web,10/29/25,Closed with explanation,Yes,N/A,16894589
11/21/25,Vehicle loan or lease,Loan,Getting a loan or lease,Loan opened without my consent or knowledge,,None,TD BANK US HOLDING COMPANY,NV,89512,None,None,Web,11/22/25,In progress,Yes,N/A,17774888
10/22/25,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,None,TD BANK US HOLDING COMPANY,NJ,07042,None,None,Web,10/22/25,In progress,Yes,N/A,16751281
